# Authoring table for mission_reunion.
# Columns: kind | name | args | x y z | qx qy qz qw
# kind is one of: squad wave trigger door voice music. Only squad has a consumer today; the
# others load and report, so a table can be authored in one walk while consumers are built.
# args is a free key=value bag, so a new kind needs a reader and not a format change.
# Squad rows below come from the mission content itself: a placed object carries its own
# transform. A combatant of ? is a squad whose content names its enemy by hash, not by name.
squad | squad_cabal_puncher | combatant=? | 391.154 542.625 63.609 | 0.0000 0.0000 0.0000 1.0000
squad | squad_cabal_runup_1 | combatant=? | 393.761 526.384 61.912 | 0.0000 0.0000 0.0000 1.0000
squad | squad_cabal_runup_2 | combatant=phalanx | 395.383 527.599 61.912 | 0.0000 0.0000 0.0000 1.0000
squad | squad_cabal_runup_3 | combatant=? | 393.633 529.412 61.912 | 0.0000 0.0000 0.0000 1.0000
squad | squad_cayde | combatant=? | 390.864 550.152 63.663 | 0.0000 0.0000 0.0000 1.0000
squad | squad_dropship | combatant=dropship | 427.500 487.500 92.500 | 0.0000 0.0000 0.0000 1.0000
squad | squad_exploding_cabal | combatant=? | 377.045 534.717 64.314 | 0.0000 0.0000 0.0000 1.0000
squad | squad_fake_dropship | combatant=dropship | 421.537 376.174 87.517 | 0.0000 0.0000 0.0000 1.0000
squad | squad_ikora | combatant=? | 394.161 543.162 63.922 | 0.0000 0.0000 0.0000 1.0000
squad | squad_mosquito_1 | combatant=? | 421.537 376.174 87.517 | 0.0000 0.0000 0.0000 1.0000
squad | squad_zavala | combatant=? | 387.993 546.728 63.636 | 0.0000 0.0000 0.0000 1.0000
